datetime_et,datetime_utc,outcome,open_prob,high_prob,low_prob,close_prob,open_american_odds,high_american_odds,low_american_odds,close_american_odds,open_decimal_odds,high_decimal_odds,low_decimal_odds,close_decimal_odds,volume_shares,trade_count
2026-03-28 23:20:00-04:00,2026-03-29 03:20:00+00:00,Michigan Wolverines,0.7599999087998286,0.7599999087998286,0.7599999087998286,0.7599999087998286,-317,-317,-317,-317,1.3158,1.3158,1.3158,1.3158,1.3115970000000001,1
2026-03-28 23:20:00-04:00,2026-03-29 03:20:00+00:00,Tennessee Volunteers,0.25,0.25,0.25,0.25,300,300,300,300,4.0,4.0,4.0,4.0,213.93572,2
2026-03-28 23:25:00-04:00,2026-03-29 03:25:00+00:00,Michigan Wolverines,0.7599999969599999,0.7599999969599999,0.7599999969599999,0.7599999969599999,-317,-317,-317,-317,1.3158,1.3158,1.3158,1.3158,65.57947999999999,1
2026-03-28 23:25:00-04:00,2026-03-29 03:25:00+00:00,Tennessee Volunteers,0.25,0.25,0.25,0.25,300,300,300,300,4.0,4.0,4.0,4.0,24.8781,1
2026-03-28 23:30:00-04:00,2026-03-29 03:30:00+00:00,Michigan Wolverines,0.7599999878399966,0.76,0.7599999878399966,0.76,-317,-317,-317,-317,1.3158,1.3158,1.3158,1.3158,35.892971,2
2026-03-28 23:30:00-04:00,2026-03-29 03:30:00+00:00,Tennessee Volunteers,0.24,0.25,0.24,0.25,317,300,317,300,4.1667,4.0,4.1667,4.0,31.69063,2
2026-03-28 23:35:00-04:00,2026-03-29 03:35:00+00:00,Michigan Wolverines,0.76,0.76,0.76,0.76,-317,-317,-317,-317,1.3158,1.3158,1.3158,1.3158,21.63074,1
2026-03-28 23:35:00-04:00,2026-03-29 03:35:00+00:00,Tennessee Volunteers,0.25,0.25,0.25,0.25,300,300,300,300,4.0,4.0,4.0,4.0,39.86875,1
2026-03-28 23:40:00-04:00,2026-03-29 03:40:00+00:00,Michigan Wolverines,0.76,0.76,0.76,0.76,-317,-317,-317,-317,1.3158,1.3158,1.3158,1.3158,35.54618,2
2026-03-28 23:40:00-04:00,2026-03-29 03:40:00+00:00,Tennessee Volunteers,0.25,0.25,0.25,0.25,300,300,300,300,4.0,4.0,4.0,4.0,0.0,0
