Team 1,Team 2,Round,Mens/Womans,URL Slug
TCU,UC San Diego,First,Womens,cwbb-ucsd-tcu-2026-03-20
Georgia,Virginia,First,Womens,cwbb-vir-ga-2026-03-21
Iowa,FDU,First,Womens,cwbb-fairdk-iowa-2026-03-21
UCLA,California Baptist,First,Womens,cwbb-cabap-ucla-2026-03-21
Oklahoma State,Princeton,First,Womens,cwbb-prnce-okst-2026-03-21
Ole Miss,Gonzaga,First,Womens,cwbb-gnzg-miss-2026-03-20
Minnesota,Green Bay,First,Womens,cwbb-gb-minnst-2026-03-20
Baylor,Nebraska,First,Womens,cwbb-nebr-bayl-2026-03-20
Duke,College of Charleston,First,Womens,cwbb-char-duke-2026-03-20
Texas Tech,Villanova,First,Womens,cwbb-vill-txtech-2026-03-20
LSU,Jacksonville,First,Womens,cwbb-jax-lsu-2026-03-20
Texas,Missouri State,First,Womens,cwbb-msrst-tx-2026-03-20
Oregon,Virginia Tech,First,Womens,cwbb-vtech-ore-2026-03-20
Kentucky,James Madison,First,Womens,cwbb-jmad-uk-2026-03-21
West Virginia ,Miami (Ohio),First,Womens,cwbb-miaoh-wvir-2026-03-21
Alabama,Rhode Island,First,Womens,cwbb-ri-ala-2026-03-21
Louisville,Vermont,First,Womens,cwbb-verm-lou-2026-03-21
NC State,Tennessee,First,Womens,cwbb-tenn-ncst-2026-03-20
Michigan,Holy Cross,First,Womens,cwbb-holy-mich-2026-03-20
UConn,Syracuse,Second,Womens,cwbb-syra-uconn-2026-03-23
Maryland,North Carolina,Second,Womens,cwbb-mary-ncar-2026-03-22
Notre Dame,Ohio State,Second,Womens,cwbb-nd-ohiost-2026-03-23
Illinois,Vanderbilt,Second,Womens,cwbb-ill-vand-2026-03-23
South Carolina,Southern California,Second,Womens,cwbb-usc-sc-2026-03-23
Michigan State,Oklahoma,Second,Womens,cwbb-mst-okl-2026-03-22
Washington,TCU,Second,Womens,cwbb-wash-tcu-2026-03-22
Virginia,Iowa,Second,Womens,cwbb-vir-iowa-2026-03-23
UCLA,Oklahoma State,Second,Womens,cwbb-okst-ucla-2026-03-23
Ole Miss,Minnesota,Second,Womens,cwbb-miss-minnst-2026-03-22
Baylor,Duke,Second,Womens,cwbb-bayl-duke-2026-03-22
Texas Tech,LSU,Second,Womens,cwbb-txtech-lsu-2026-03-22
Texas,Oregon,Second,Womens,cwbb-ore-tx-2026-03-22
Kentucky,West Virginia,Second,Womens,cwbb-uk-wvir-2026-03-23
Alabama,Louisville,Second,Womens,cwbb-ala-lou-2026-03-23
NC State,Michigan,Second,Womens,cwbb-ncst-mich-2026-03-22
UConn,North Carolina,Sweet 16,Womens,cwbb-ncar-uconn-2026-03-27
Notre Dame,Vanderbilt,Sweet 16,Womens,cwbb-nd-vand-2026-03-27
South Carolina,Oklahoma,Sweet 16,Womens,cwbb-okl-sc-2026-03-28
TCU,Virginia,Sweet 16,Womens,cwbb-vir-tcu-2026-03-28
UCLA,Minnesota,Sweet 16,Womens,cwbb-minnst-ucla-2026-03-27
Duke,LSU,Sweet 16,Womens,cwbb-duke-lsu-2026-03-27
Texas,Kentucky,Sweet 16,Womens,cwbb-uk-tx-2026-03-28
Louisville,Michigan,Sweet 16,Womens,cwbb-lou-mich-2026-03-28
UConn,Notre Dame,Elite Eight,Womens,cwbb-nd-uconn-2026-03-29
South Carolina,TCU,Elite Eight,Womens,cwbb-tcu-sc-2026-03-30
UCLA,Duke,Elite Eight,Womens,cwbb-duke-ucla-2026-03-29
Texas,Michigan,Elite Eight,Womens,cwbb-mich-tx-2026-03-30
UConn,South Carolina,Final Four,Womens,cwbb-sc-uconn-2026-04-03
UCLA,Texas,Final Four,Womens,cwbb-tx-ucla-2026-04-03
South Carolina,UCLA,Championship,Womens,cwbb-sc-ucla-2026-04-05
